hand,timestamp,FC3,FC4,C3,C4,CP3,CP4,FCz,Pz
Left,2025-10-28 18:44:25,"[-55573.613, -55958.754, -56967.734, -56746.004, -55653.184, -55770.375, -56836.91, -56889.75, -55774.82, -55602.668]","[-64467.438, -64919.816, -65196.33, -64834.008, -64468.555, -64837.695, -65203.816, -64929.113, -64485.566, -64739.39]","[-87149.875, -87015.38, -86943.91, -87068.96, -87153.41, -87036.086, -86934.36, -87038.945, -87161.74, -87069.52]","[-83217.53, -83247.484, -83206.41, -83183.94, -83213.96, -83254.016, -83219.21, -83189.484, -83222.41, -83263.086]","[-86474.67, -86327.71, -86258.04, -86396.664, -86485.984, -86358.02, -86256.14, -86373.17, -86500.984, -86396.22]","[-91320.42, -91210.766, -91147.15, -91249.7, -91326.836, -91233.85, -91145.01, -91230.12, -91339.266, -91264.23]","[-69564.98, -70053.02, -70302.2, -69892.74, -69549.15, -69963.016, -70321.875, -69995.625, -69561.89, -69867.84]","[-86303.04, -86324.875, -86276.44, -86251.0, -86289.11, -86325.945, -86283.63, -86250.15, -86287.61, -86330.016]"
Left,2025-10-28 18:44:25,"[-56669.562, -56971.242, -55965.55, -55497.414, -56451.164, -56996.613, -56107.414, -55397.926, -56225.836, -56989.484]","[-65181.13, -65008.06, -64532.863, -64664.582, -65154.64, -65089.195, -64591.47, -64583.668, -65095.97, -65154.53]","[-86941.05, -87021.31, -87160.05, -87123.234, -86969.945, -87006.16, -87161.01, -87143.15, -86984.67, -86980.47]","[-83231.016, -83196.63, -83218.14, -83276.695, -83249.63, -83198.47, -83210.43, -83263.06, -83255.445, -83206.65]","[-86259.875, -86349.46, -86495.17, -86445.87, -86282.25, -86325.79, -86490.5, -86464.82, -86294.81, -86297.13]","[-91148.11, -91210.9, -91334.66, -91307.62, -91169.28, -91192.86, -91325.02, -91317.23, -91183.74, -91175.36]","[-70313.47, -70095.16, -69614.64, -69791.84, -70299.39, -70191.945, -69675.234, -69709.125, -70242.37, -70263.65]","[-86296.06, -86260.48, -86289.89, -86346.95, -86322.305, -86273.664, -86290.766, -86342.13, -86332.516, -86279.66]"
Left,2025-10-28 18:44:25,"[-56311.58, -55373.9, -55979.79, -56894.62, -56440.816, -55398.688, -55744.56, -56759.73, -56574.86, -55452.89]","[-64682.33, -64532.883, -65031.64, -65205.023, -64777.68, -64505.86, -64949.074, -65232.27, -64883.426, -64512.633]","[-87134.86, -87166.91, -87011.34, -86981.164, -87127.01, -87191.27, -87063.4, -86988.01, -87117.98, -87221.36]","[-83210.27, -83269.1, -83274.76, -83227.93, -83214.85, -83262.305, -83294.02, -83249.766, -83230.72, -83273.66]","[-86464.86, -86492.51, -86324.92, -86297.42, -86454.89, -86518.375, -86375.39, -86297.6, -86439.83, -86545.42]","[-91310.25, -91345.32, -91211.34, -91177.37, -91295.79, -91356.97, -91252.27, -91183.92, -91291.766, -91385.016]","[-69758.945, -69647.39, -70173.125, -70310.45, -69843.63, -69605.91, -70088.63, -70354.06, -69957.164, -69604.92]","[-86282.96, -86340.45, -86343.914, -86293.07, -86286.48, -86337.055, -86366.78, -86316.07, -86296.266, -86342.305]"
Left,2025-10-28 18:44:25,"[-55531.59, -56614.668, -56680.87, -55566.145, -55354.633, -56385.137, -56719.453, -55733.113, -55249.758, -56194.184]","[-64871.176, -65247.78, -64981.46, -64530.426, -64778.24, -65218.3, -65050.953, -64564.6, -64678.574, -65166.89]","[-87095.65, -86986.664, -87093.77, -87220.11, -87127.08, -86991.94, -87051.53, -87187.96, -87145.25, -86995.42]","[-83302.516, -83262.305, -83232.914, -83260.94, -83299.27, -83263.87, -83217.58, -83229.445, -83285.98, -83270.44]","[-86405.63, -86292.734, -86411.35, -86542.805, -86437.59, -86296.22, -86364.88, -86509.39, -86456.52, -86297.56]","[-91278.94, -91180.88, -91268.54, -91379.45, -91305.02, -91187.0, -91231.44, -91348.61, -91321.65, -91195.03]","[-70006.05, -70372.39, -70057.52, -69616.836, -69906.805, -70346.75, -70136.82, -69641.24, -69797.1, -70300.305]","[-86369.71, -86324.49, -86297.41, -86333.88, -86372.7, -86332.766, -86286.25, -86306.03, -86361.15, -86337.52]"
Left,2025-10-28 18:44:25,"[-56773.7, -55924.38, -55181.137, -55961.637, -56737.69, -56084.773, -55145.867, -55741.695, -56669.76, -56249.28]","[-65124.086, -64633.6, -64608.88, -65116.13, -65187.79, -64719.902, -64554.34, -65047.355, -65230.258, -64815.05]","[-87023.52, -87178.305, -87173.234, -87019.836, -87010.29, -87166.39, -87197.33, -87050.39, -87010.36, -87158.39]","[-83224.305, -83238.14, -83298.05, -83299.3, -83249.766, -83252.734, -83303.07, -83314.945, -83267.2, -83260.54]","[-86334.17, -86500.2, -86488.89, -86326.15, -86324.31, -86496.086, -86526.086, -86368.17, -86334.086, -86495.77]","[-91214.61, -91348.79, -91354.87, -91229.516, -91215.7, -91352.27, -91385.375, -91257.44, -91215.26, -91342.21]","[-70212.62, -69699.984, -69720.48, -70252.16, -70286.805, -69782.98, -69659.59, -70187.85, -70343.31, -69883.16]","[-86288.734, -86302.86, -86360.59, -86358.49, -86308.42, -86310.86, -86366.0, -86375.91, -86324.72, -86319.51]"
Left,2025-10-28 18:44:25,"[-55182.59, -55519.363, -56551.145, -56391.484, -55290.883, -55325.395, -56407.42, -56521.773, -55430.63, -55183.64]","[-64532.37, -64966.977, -65255.67, -64910.406, -64531.92, -64879.87, -65263.316, -65008.953, -64558.344, -64793.1]","[-87229.6, -87089.055, -87009.125, -87133.18, -87237.72, -87132.4, -87014.36, -87114.12, -87243.59, -87162.69]","[-83308.84, -83327.7, -83279.914, -83256.805, -83295.99, -83341.19, -83295.54, -83260.13, -83292.75, -83344.02]","[-86567.57, -86413.164, -86331.914, -86466.96, -86574.48, -86455.97, -86333.88, -86443.54, -86578.74, -86485.02]","[-91408.95, -91286.2, -91211.86, -91313.0, -91406.92, -91321.96, -91214.43, -91291.32, -91407.59, -91347.13]","[-69630.42, -70104.28, -70375.67, -69984.19, -69626.625, -70019.55, -70396.57, -70092.055, -69647.586, -69933.87]","[-86373.266, -86387.055, -86334.89, -86312.58, -86359.97, -86404.65, -86360.01, -86325.9, -86361.734, -86407.24]"
Left,2025-10-28 18:44:25,"[-56221.633, -56570.367, -55572.07, -55078.117, -56012.266, -56592.402, -55735.01, -54985.38, -55798.27, -56578.48]","[-65242.35, -65085.688, -64595.2, -64699.336, -65193.47, -65150.688, -64655.953, -64624.504, -65135.82, -65209.227]","[-87023.52, -87090.71, -87227.73, -87175.734, -87027.48, -87055.17, -87207.86, -87196.7, -87039.39, -87039.64]","[-83307.09, -83265.14, -83277.82, -83325.76, -83316.17, -83272.81, -83281.95, -83334.99, -83332.31, -83286.16]","[-86339.18, -86415.6, -86560.15, -86499.8, -86344.055, -86380.375, -86543.984, -86526.89, -86359.23, -86365.69]","[-91224.64, -91274.82, -91393.734, -91359.05, -91236.555, -91259.516, -91393.445, -91391.61, -91258.98, -91252.625]","[-70387.34, -70184.39, -69686.81, -69835.14, -70335.87, -70253.164, -69740.75, -69752.42, -70288.26, -70324.6]","[-86366.94, -86322.21, -86340.875, -86387.86, -86367.37, -86319.62, -86330.91, -86383.21, -86377.69, -86326.26]"
Left,2025-10-28 18:44:25,"[-55926.008, -54977.156, -55544.777, -56495.957, -56092.73, -55031.74, -55337.062, -56368.125, -56216.805, -55112.785]","[-64743.996, -64579.688, -65071.27, -65263.54, -64847.305, -64563.15, -65000.594, -65291.902, -64947.508, -64564.043]","[-87191.85, -87230.19, -87081.97, -87036.375, -87179.07, -87252.11, -87124.57, -87038.875, -87162.17, -87262.125]","[-83283.92, -83338.414, -83352.805, -83300.68, -83286.18, -83336.02, -83370.58, -83316.26, -83291.766, -83326.41]","[-86531.25, -86566.12, -86404.22, -86361.086, -86516.9, -86590.125, -86450.31, -86361.71, -86494.59, -86596.266]","[-91382.516, -91422.57, -91294.13, -91245.66, -91362.555, -91434.484, -91332.24, -91247.98, -91347.086, -91436.47]","[-69821.086, -69691.445, -70218.164, -70381.82, -69923.7, -69667.51, -70142.1, -70424.375, -70037.09, -69671.8]","[-86327.734, -86387.88, -86399.17, -86344.25, -86332.3, -86385.36, -86416.16, -86362.914, -86338.125, -86378.48]"
Left,2025-10-28 18:44:25,"[-55141.375, -56199.46, -56310.906, -55225.887, -54957.22, -55986.27, -56339.67, -55338.36, -54810.145, -55735.414]","[-64903.945, -65284.996, -65033.07, -64580.605, -64806.246, -65264.055, -65122.836, -64632.887, -64726.004, -65224.984]","[-87150.73, -87038.01, -87129.89, -87256.45, -87181.17, -87041.984, -87113.84, -87249.07, -87201.195, -87051.664]","[-83364.09, -83323.15, -83288.055, -83313.266, -83364.14, -83333.36, -83302.23, -83316.016, -83367.445, -83357.73]","[-86472.125, -86355.45, -86457.4, -86589.54, -86503.53, -86356.836, -86437.46, -86580.555, -86524.25, -86366.16]","[-91345.63, -91247.29, -91322.21, -91432.625, -91375.63, -91254.305, -91314.45, -91432.875, -91402.67, -91278.086]","[-70056.0, -70430.414, -70136.11, -69690.75, -69965.37, -70427.8, -70230.836, -69727.92, -69863.26, -70374.04]","[-86413.3, -86366.05, -86329.73, -86359.74, -86406.28, -86368.93, -86329.836, -86351.16, -86397.695, -86380.77]"
Left,2025-10-28 18:44:25,"[-56349.285, -55522.0, -54769.664, -55524.28, -56324.34, -55701.71, -54755.67, -55296.562, -56231.69, -55832.47]","[-65198.273, -64710.805, -64672.36, -65180.1, -65267.207, -64805.574, -64627.633, -65110.184, -65308.42, -64898.09]","[-87076.12, -87230.74, -87232.195, -87085.234, -87071.914, -87228.375, -87268.01, -87128.15, -87083.6, -87227.17]","[-83308.04, -83317.58, -83375.29, -83380.61, -83327.91, -83328.24, -83379.23, -83397.17, -83348.9, -83335.1]","[-86397.74, -86564.71, -86559.88, -86402.7, -86393.6, -86562.96, -86600.76, -86449.28, -86404.67, -86560.51]","[-91291.875, -91427.17, -91436.72, -91311.59, -91290.72, -91422.77, -91459.336, -91340.78, -91293.6, -91413.875]","[-70300.95, -69788.12, -69792.36, -70326.43, -70381.375, -69883.53, -69743.836, -70261.836, -70434.836, -69984.695]","[-86329.27, -86343.54, -86404.445, -86408.85, -86353.93, -86355.65, -86412.9, -86429.66, -86379.57, -86370.516]"
Left,2025-10-28 18:44:25,"[-54760.344, -55055.945, -56112.668, -55996.305, -54895.305, -54911.777, -55970.58, -56115.934, -55028.34, -54744.227]","[-64606.2, -65033.652, -65340.766, -65010.25, -64616.188, -64940.914, -65328.004, -65089.688, -64626.605, -64837.85]","[-87299.79, -87166.234, -87079.4, -87203.74, -87305.555, -87197.93, -87084.01, -87174.28, -87301.87, -87224.98]","[-83380.81, -83408.125, -83359.87, -83339.016, -83370.484, -83404.44, -83367.78, -83334.766, -83360.83, -83408.17]","[-86632.92, -86484.84, -86397.47, -86533.1, -86638.516, -86519.336, -86400.06, -86500.266, -86635.0, -86546.83]","[-91480.37, -91364.7, -91285.04, -91388.016, -91477.734, -91388.59, -91286.516, -91359.734, -91473.555, -91415.664]","[-69724.836, -70193.59, -70485.0, -70102.086, -69723.27, -70097.64, -70484.98, -70195.12, -69733.69, -69998.65]","[-86425.44, -86450.53, -86397.96, -86374.25, -86416.96, -86450.734, -86407.64, -86371.48, -86399.82, -86444.34]"
Left,2025-10-28 18:44:25,"[-55759.38, -56146.664, -55165.69, -54612.53, -55543.08, -56179.074, -55362.453, -54583.094, -55346.676, -56161.375]","[-65296.754, -65165.438, -64673.52, -64756.42, -65258.914, -65242.773, -64758.793, -64701.953, -65209.56, -65307.17]","[-87088.07, -87146.3, -87281.125, -87244.695, -87091.445, -87115.56, -87276.34, -87272.99, -87118.45, -87109.15]","[-83381.91, -83341.164, -83353.19, -83408.125, -83392.08, -83345.66, -83359.984, -83406.74, -83408.71, -83364.25]","[-86403.4, -86470.25, -86615.18, -86568.58, -86402.88, -86433.01, -86605.766, -86597.45, -86433.1, -86428.586]","[-91300.195, -91344.56, -91465.234, -91443.02, -91307.86, -91320.6, -91460.48, -91463.31, -91334.1, -91318.99]","[-70463.586, -70280.836, -69774.63, -69901.82, -70420.16, -70357.5, -69846.63, -69834.38, -70373.28, -70438.55]","[-86410.99, -86365.64, -86380.125, -86433.39, -86415.11, -86363.74, -86382.72, -86439.83, -86435.984, -86386.61]"
Left,2025-10-28 18:44:25,"[-55555.844, -54594.293, -55110.1, -56069.35, -55706.74, -54634.84, -54908.87, -55957.055, -55868.97, -54746.664]","[-64850.793, -64664.87, -65145.008, -65353.664, -64949.387, -64640.73, -65057.836, -65370.895, -65043.934, -64642.184]","[-87260.3, -87301.6, -87162.44, -87107.766, -87247.82, -87321.02, -87192.97, -87107.09, -87225.76, -87339.33]","[-83360.14, -83410.5, -83433.61, -83381.15, -83364.09, -83403.55, -83431.17, -83386.67, -83359.02, -83402.43]","[-86591.64, -86629.86, -86477.875, -86424.56, -86577.56, -86650.36, -86508.43, -86423.18, -86552.93, -86669.76]","[-91445.836, -91486.0, -91369.375, -91313.94, -91429.23, -91493.984, -91386.29, -91307.19, -91402.34, -91506.34]","[-69942.9, -69791.266, -70304.305, -70485.266, -70037.09, -69755.88, -70218.9, -70521.34, -70147.53, -69762.56]","[-86386.836, -86440.55, -86457.64, -86406.73, -86396.24, -86442.17, -86468.95, -86421.88, -86393.09, -86438.47]"
Left,2025-10-28 18:44:25,"[-54709.246, -55760.94, -55916.668, -54842.285, -54542.414, -55574.906, -56019.64, -55068.26, -54480.7, -55403.582]","[-64964.785, -65364.12, -65130.547, -64666.08, -64870.664, -65338.484, -65217.965, -64727.008, -64797.19, -65300.89]","[-87236.84, -87120.08, -87206.27, -87330.03, -87251.95, -87116.62, -87169.81, -87323.59, -87293.98, -87131.19]","[-83447.4, -83411.055, -83371.25, -83395.86, -83440.85, -83415.91, -83371.76, -83393.8, -83452.83, -83435.24]","[-86554.65, -86433.44, -86528.81, -86659.52, -86571.1, -86428.63, -86490.34, -86654.05, -86614.69, -86440.766]","[-91427.22, -91325.2, -91394.3, -91508.51, -91447.42, -91329.81, -91369.59, -91507.08, -91489.625, -91351.65]","[-70135.08, -70535.18, -70250.1, -69782.17, -70035.1, -70510.234, -70341.766, -69831.68, -69950.164, -70473.87]","[-86481.89, -86443.27, -86404.06, -86429.164, -86472.28, -86443.85, -86398.92, -86421.88, -86479.88, -86454.83]"
Left,2025-10-28 18:44:25,"[-56045.68, -55250.85, -54449.566, -55167.055, -56006.855, -55426.67, -54467.582, -54985.223, -55961.703, -55623.3]","[-65289.38, -64802.715, -64735.055, -65245.434, -65359.676, -64902.582, -64704.254, -65186.785, -65406.145, -65011.21]","[-87149.25, -87299.164, -87309.58, -87162.305, -87138.74, -87286.49, -87327.62, -87188.45, -87141.85, -87282.31]","[-83391.766, -83398.25, -83455.36, -83465.59, -83413.42, -83407.55, -83456.766, -83479.56, -83432.2, -83420.24]","[-86466.695, -86628.01, -86634.375, -86477.38, -86459.21, -86620.32, -86659.66, -86510.055, -86465.76, -86618.086]","[-91366.42, -91497.76, -91512.6, -91388.1, -91360.34, -91489.086, -91531.086, -91413.9, -91366.65, -91485.29]","[-70413.92, -69897.98, -69874.82, -70412.89, -70493.695, -70001.73, -69839.19, -70352.54, -70546.29, -70111.055]","[-86401.9, -86410.88, -86467.21, -86472.15, -86418.15, -86415.69, -86469.984, -86490.32, -86443.31, -86433.28]"
Left,2025-10-28 18:44:25,"[-54545.297, -54779.008, -55833.07, -55763.668, -54657.39, -54620.824, -55679.38, -55854.19, -54784.438, -54452.74]","[-64696.32, -65099.926, -65417.23, -65093.42, -64684.027, -64994.76, -65395.57, -65174.58, -64712.68, -64905.645]","[-87364.23, -87233.65, -87138.7, -87251.53, -87356.97, -87252.9, -87132.29, -87223.414, -87355.69, -87287.72]","[-83460.61, -83485.266, -83433.83, -83399.37, -83429.83, -83468.63, -83432.29, -83401.13, -83426.79, -83480.7]","[-86699.94, -86555.79, -86457.71, -86581.41, -86690.88, -86573.875, -86448.91, -86552.37, -86691.71, -86612.81]","[-91558.086, -91447.96, -91356.836, -91446.484, -91541.91, -91459.805, -91354.58, -91428.516, -91544.05, -91494.2]","[-69821.06, -70264.2, -70570.29, -70200.99, -69809.88, -70169.836, -70565.04, -70293.305, -69836.17, -70078.734]","[-86481.13, -86507.71, -86455.695, -86422.375, -86456.99, -86492.4, -86449.06, -86415.71, -86447.49, -86496.67]"
Left,2025-10-28 18:44:25,"[-55469.004, -55924.535, -54956.86, -54360.65, -55250.76, -55895.766, -55109.14, -54296.055, -55006.996, -55843.688]","[-65375.902, -65263.137, -64766.39, -64822.34, -65322.996, -65317.7, -64829.938, -64749.965, -65255.715, -65376.305]","[-87140.195, -87188.63, -87340.13, -87300.57, -87151.89, -87163.96, -87311.93, -87323.64, -87183.6, -87161.39]","[-83453.234, -83404.73, -83424.04, -83472.164, -83461.81, -83412.4, -83412.59, -83466.82, -83478.555, -83429.43]","[-86455.9, -86513.37, -86674.48, -86627.13, -86469.336, -86489.2, -86648.8, -86655.5, -86505.66, -86487.414]","[-91367.0, -91403.44, -91536.23, -91509.41, -91381.17, -91387.55, -91514.14, -91529.32, -91409.38, -91382.11]","[-70553.75, -70390.18, -69878.28, -69975.266, -70494.12, -70447.445, -69926.49, -69892.38, -70432.516, -70520.85]","[-86462.74, -86411.15, -86433.66, -86481.65, -86465.42, -86408.6, -86412.984, -86469.445, -86478.5, -86429.08]"
Left,2025-10-28 18:44:25,"[-55277.832, -54279.914, -54774.336, -55770.62, -55456.29, -54362.504, -54574.51, -55613.35, -55558.66, -54465.746]","[-64928.285, -64716.28, -65190.9, -65421.836, -65034.992, -64711.7, -65113.984, -65440.027, -65132.65, -64726.652]","[-87314.27, -87358.91, -87212.39, -87149.61, -87293.734, -87379.45, -87252.65, -87163.78, -87279.36, -87383.23]","[-83423.375, -83471.12, -83488.836, -83436.984, -83426.81, -83468.9, -83500.125, -83457.414, -83430.5, -83458.17]","[-86652.055, -86694.305, -86533.664, -86471.37, -86625.305, -86711.11, -86570.23, -86477.805, -86605.055, -86712.85]","[-91510.3, -91555.85, -91432.78, -91371.56, -91491.45, -91568.88, -91465.28, -91380.86, -91472.03, -91564.55]","[-70032.77, -69856.29, -70366.76, -70572.414, -70136.98, -69841.83, -70287.586, -70601.09, -70244.516, -69851.19]","[-86427.76, -86480.87, -86494.59, -86439.23, -86427.29, -86479.39, -86507.6, -86459.43, -86432.79, -86469.83]"
Left,2025-10-28 18:44:25,"[-54399.766, -55484.76, -55687.07, -54617.65, -54265.766, -55279.13, -55746.836, -54800.934, -54185.68, -55066.184]","[-65028.58, -65443.582, -65229.633, -64755.664, -64937.742, -65416.45, -65311.91, -64818.63, -64864.137, -65371.746]","[-87280.234, -87154.164, -87249.37, -87374.24, -87307.14, -87167.6, -87219.44, -87367.65, -87340.2, -87193.51]","[-83500.04, -83464.01, -83436.31, -83456.83, -83510.45, -83493.195, -83449.945, -83464.25, -83518.234, -83510.5]","[-86597.9, -86467.48, -86574.32, -86706.375, -86629.53, -86482.164, -86541.4, -86697.09, -86658.164, -86499.125]","[-91483.7, -91373.484, -91451.49, -91564.7, -91519.77, -91400.4, -91436.83, -91565.59, -91548.41, -91419.8]","[-70192.39, -70600.31, -70333.09, -69859.62, -70091.23, -70583.14, -70432.47, -69923.27, -70015.61, -70539.13]","[-86509.34, -86466.516, -86433.125, -86458.65, -86510.91, -86490.5, -86445.73, -86467.48, -86523.516, -86513.414]"
Left,2025-10-28 18:44:25,"[-55748.76, -54985.203, -54151.594, -54852.7, -55702.69, -55158.676, -54172.45, -54635.016, -55613.062, -55309.37]","[-65384.688, -64899.965, -64807.117, -65311.844, -65438.62, -64989.91, -64764.246, -65230.215, -65471.145, -65084.457]","[-87210.07, -87366.625, -87378.71, -87230.56, -87206.96, -87350.93, -87393.0, -87252.6, -87198.36, -87329.3]","[-83459.984, -83463.914, -83515.82, -83521.74, -83469.55, -83458.64, -83501.65, -83525.38, -83482.24, -83460.45]","[-86518.73, -86683.95, -86688.89, -86525.59, -86505.14, -86660.305, -86701.586, -86548.44, -86495.28, -86638.67]","[-91424.16, -91557.35, -91572.44, -91442.71, -91411.91, -91532.0, -91576.7, -91461.305, -91407.7, -91513.83]","[-70508.664, -69994.58, -69945.47, -70478.76, -70568.01, -70081.8, -69889.91, -70385.8, -70596.555, -70166.51]","[-86467.3, -86479.55, -86536.836, -86539.14, -86486.07, -86482.34, -86533.62, -86552.52, -86504.47, -86487.1]"
Left,2025-10-28 18:44:25,"[-54232.215, -54435.906, -55504.055, -55480.496, -54371.58, -54272.227, -55315.85, -55559.484, -54516.484, -54128.504]","[-64749.45, -65147.066, -65485.047, -65187.766, -64771.266, -65064.477, -65482.34, -65283.68, -64808.727, -64973.258]","[-87407.86, -87279.805, -87183.29, -87300.93, -87422.14, -87333.766, -87216.414, -87293.11, -87431.71, -87373.17]","[-83494.23, -83523.33, -83478.54, -83456.5, -83491.3, -83538.016, -83506.41, -83468.56, -83493.016, -83544.25]","[-86718.555, -86576.89, -86477.36, -86606.375, -86730.94, -86628.88, -86505.43, -86592.086, -86738.41, -86668.445]","[-91587.01, -91479.01, -91392.28, -91490.516, -91595.86, -91525.5, -91421.32, -91482.336, -91606.1, -91561.734]","[-69855.75, -70292.234, -70614.234, -70262.28, -69857.516, -70201.87, -70622.125, -70372.055, -69891.83, -70107.21]","[-86531.76, -86562.07, -86511.06, -86485.85, -86531.83, -86583.22, -86550.56, -86513.03, -86539.83, -86590.62]"
